city,lat,lng,country,iso2,admin,capital,population,population_proper
Mumbai,18.987807,72.836447,India,IN,Mahārāshtra,admin,18978000,12691836
Delhi,28.651952,77.231495,India,IN,Delhi,admin,15926000,7633213
Kolkata,22.562627,88.363044,India,IN,West Bengal,admin,14787000,4631392
Chennai,13.084622,80.248357,India,IN,Tamil Nādu ,admin,7163000,4328063
Bengalūru,12.977063,77.587106,India,IN,Karnātaka,admin,6787000,5104047
Hyderabad,17.384052,78.456355,India,IN,Andhra Pradesh,admin,6376000,3597816
Ahmadābād,23.025793,72.587265,India,IN,Gujarāt,minor,5375000,3719710
Pune,18.513271,73.849852,India,IN,Mahārāshtra,,4672000,2935744
Lucknow,26.839281,80.923133,India,IN,Uttar Pradesh,admin,2695000,2472011
Patna,25.615379,85.101027,India,IN,Bihār,admin,2158000,1599920
Indore,22.717736,75.85859,India,IN,Madhya Pradesh,,2026000,1837041
Bhopal,23.254688,77.402892,India,IN,Madhya Pradesh,admin,1727000,1599914
Vishākhapatnam,17.704052,83.297663,India,IN,Andhra Pradesh,,1529000,1063178
Kochi,9.947743,76.253802,India,IN,Kerala,,1519000,604696
Jamshedpur,22.802776,86.185448,India,IN,Jharkhand,,1300000,616338
Ranchi,23.347768,85.338564,India,IN,Jharkhand,admin,1044000,846454
Guwāhāti,26.176076,91.762932,India,IN,Assam,,983000,17516
Chandigarh,30.736292,76.788398,India,IN,Chandīgarh,admin,979000,914371
Gwalior,26.229825,78.173369,India,IN,Madhya Pradesh,,978000,882458
Thiruvananthapuram,8.485498,76.949238,India,IN,Kerala,admin,954000,784153
Bhubaneshwar,20.272411,85.833853,India,IN,Odisha,admin,844000,762243
Jammu,32.735686,74.869112,India,IN,Jammu and Kashmīr,,791000,465567
Dehra Dūn,30.324427,78.033922,India,IN,Uttarakhand,admin,714223,578420
Cuttack,20.522922,85.78813,India,IN,Odisha,,580000,580000
Guntūr,16.299737,80.457293,India,IN,Andhra Pradesh,,530577,530577
Shiliguri,26.710035,88.428512,India,IN,West Bengal,,515574,515574
Udaipur,24.57951,73.690508,India,IN,Rājasthān,,469737,422784
New Delhi,28.6,77.2,India,IN,Delhi,primary,317797,317797
Aizawl,23.736701,92.714596,India,IN,Mizoram,admin,283021,265331
Imphal,24.808053,93.944203,India,IN,Manipur,admin,264986,223523
Puducherry,11.933812,79.829792,India,IN,Puducherry,admin,227411,227411
Puri,19.798254,85.824938,India,IN,Odisha,,201026,201026
Haldia,22.025278,88.058333,India,IN,West Bengal,,200762,200762
Gurgaon,28.460105,77.026352,India,IN,Haryāna,,197340,197340
Port Blair,11.666667,92.75,India,IN,Andaman and Nicobar Islands,admin,127562,112050
Gangtok,27.325739,88.612155,India,IN,Sikkim,admin,77900,30700
Calicut,11.248016,75.780402,India,IN,Kerala,minor,,
Jaipur,26.913312,75.787872,India,IN,Rājasthān,admin,,
Raipur,21.233333,81.633333,India,IN,Chhattīsgarh,admin,875000,679995